object_img,feature_img,context_img,trl_no_ret,block_no,pleasant_scr,pleasant_inital_rt,pleasant_final_rt,feat_mem,feat_inital_rt,feat_final_rt,feat_key,scene_mem,scene_inital_rt,scene_final_rt,scene_key,con_score,con_inital_rt,con_final_rt
animate_51.jpg,chequered_01.jpg,outdoor_02.jpg,3,1,easy,1.13307678094134,1.13307678094134,target,1.66692997678183,1.66692997678183,left,target,0.796919730026275,0.796919730026275,left,certain,0.530400830088183,1.71344893006608
inanimate_53.jpg,polkadot_55.jpg,indoor_08.jpg,42,1,difficult,1.21038157050498,2.31492947041988,lure,2.0998396279756,2.0998396279756,left,target,7.3124200811144,7.3124200811144,left,unsure,0.299823332112283,1.12969403224997
animate_05.jpg,chequered_14.jpg,outdoor_25.jpg,13,1,difficult,0.841040270403028,1.59058527043089,target,6.64724102779292,6.64724102779292,left,lure,2.50943731935695,3.2994911193382,centre,certain,0.426222642883658,1.45326914289035
inanimate_16.jpg,chequered_54.jpg,indoor_01.jpg,70,2,difficult,1.60553979617544,2.42725519626401,target,0.55898587894626,1.76440037903376,right,target,1.88171733217314,1.88171733217314,left,certain,0.352629521628842,1.34320812160149
animate_10.jpg,chequered_47.jpg,outdoor_08.jpg,56,2,difficult,2.07511961716227,2.74070591735654,target,9.79214387899265,13.6915901789907,centre,target,0.844049674691632,0.844049674691632,left,certain,0.879327229922637,1.97617843002081
inanimate_59.jpg,polkadot_49.jpg,outdoor_06.jpg,59,2,easy,1.2233614299912,1.2233614299912,target,1.27219668100588,2.59080628096126,centre,target,0.969085078919306,1.50185047881678,centre,certain,0.436521796043962,1.49451669608243
animate_43.jpg,chequered_30.jpg,outdoor_52.jpg,78,2,easy,1.4714856299106,1.4714856299106,target,0.627369479043409,0.627369479043409,left,target,1.41043308097869,2.41683048103005,right,certain,0.330387972528115,1.35858137253672
inanimate_21.jpg,chequered_44.jpg,outdoor_13.jpg,75,2,difficult,2.09377488959581,2.63575808960013,lure,2.11876442795619,4.73440272780135,right,lure,7.97681186627597,11.0725302663632,right,guess,0.373339530080557,1.99983913009055
animate_39.jpg,polkadot_20.jpg,outdoor_31.jpg,62,2,difficult,2.16205567261204,3.2869121725671,target,1.54212093213573,4.72622243221849,centre,target,6.59253262169659,7.23086662148125,centre,unsure,0.339623466134071,0.838616466149688
animate_40.jpg,chequered_48.jpg,indoor_17.jpg,77,2,difficult,1.08663683012128,2.19456772995181,target,2.68374697887339,3.92083467892371,centre,target,5.33442478091456,5.33442478091456,left,unsure,0.404624770395458,0.92227237042971
animate_09.jpg,chequered_22.jpg,indoor_25.jpg,82,2,difficult,1.02806823002174,1.60249803005718,lure,2.15699387667701,2.15699387667701,left,target,2.32091157883406,9.69637147895992,right,guess,0.505831096088514,0.505831096088514
inanimate_64.jpg,polkadot_03.jpg,outdoor_58.jpg,60,2,easy,1.5796180893667,1.5796180893667,target,3.25192268309183,4.080862283241,centre,target,3.16993853216991,4.49972273223102,right,certain,0.558030130108818,1.57545873010531
animate_23.jpg,polkadot_30.jpg,indoor_19.jpg,66,2,difficult,0.97880153846927,1.60994133842178,lure,1.37778382794932,6.59124482795596,right,target,4.22408078308217,4.22408078308217,left,guess,0.840896121459082,0.840896121459082
inanimate_61.jpg,chequered_50.jpg,indoor_40.jpg,65,2,difficult,1.75210208096541,2.53438958106562,target,2.43543182150461,3.46885632141493,right,target,4.67582732788287,11.3242858280428,centre,unsure,0.410397474654019,0.874405674636364
inanimate_47.jpg,polkadot_27.jpg,outdoor_24.jpg,84,2,easy,1.16161053231917,1.16161053231917,target,0.615926378872246,1.16503787878901,centre,target,2.05110617890023,7.53028727904893,right,certain,0.307661164319143,1.2356496641878
inanimate_45.jpg,chequered_62.jpg,outdoor_59.jpg,54,2,difficult,0.951056070392951,2.3345887705218,target,1.90601767040789,1.90601767040789,left,target,4.78765251091681,4.78765251091681,left,unsure,0.850408929865807,1.42420772998594
